can_smiles_solute,can_smiles_solvent,DGsolv,index,Exp_or_QM,Train/Valid/Test,predicted
FC(F)(Cl)Cl,CCCCCCC,-1.8,16833,Exp,Train,-1.7931824
CCC(C)(O)C(C)C,CCCCCCCC,-5.4,5935,Exp,Train,-5.318719
c1cc2c3c(cccc3c1)CC2,CC(C)(C)O,-8.39,22704,Exp,Train,-8.475187
CCCCc1cccc2ccccc12,CCCCc1cccc2ccccc12,-10.2,9818,Exp,Train,-10.115927
CCCC(C)C,CCCCCCCCCCCC,-3.52,6894,Exp,Train,-3.542186
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,CCCCO,-25.16,6073,Exp,Train,-24.993017
CO,c1ccccc1,-2.565,12693,Exp,Train,-2.5780737
ClCCCCCCl,ClCCCCCCl,-7.03,16086,Exp,Train,-7.052445
Cc1ccncc1,CCCCCCCCCCCCCCCC,-4.89,15696,Exp,Train,-4.773776
CC(C)S,O,-0.7,4473,Exp,Train,-0.71769816
COC(C)(C)C,CCCCCCCCCCCCCCCC,-3.22,13001,Exp,Train,-3.179156
c1cc2ccc3cccc4ccc(c1)c2c34,Cc1ccccc1C,-12.86,22803,Exp,Train,-12.973629
CCCC(C)=O,C1CCCCC1,-4.19,6817,Exp,Train,-4.1443186
CCOC(C)=O,CCCCCCCCO,-3.875,11121,Exp,Train,-3.8481684
O=C(O)c1ccc(Cl)cc1,CCCO,-10.11,19537,Exp,Train,-10.226446
CCCCCCC,OCCO,-1.22,8068,Exp,Train,-1.1823639
c1ccccc1,S=C=S,-4.51,23520,Exp,Train,-4.5394897
CC=C(C)C,C=CCCCCCCCCCCCCCC,-2.97,5529,Exp,Train,-2.885995
c1ccccc1,CN(C)P(=O)(N(C)C)N(C)C,-4.31,23464,Exp,Train,-4.398702
O=O,CCCOCCC,0.65,20917,Exp,Train,0.6817252
O=C(c1ccccc1)C(O)c1ccccc1,CCOC(C)=O,-15.7,20106,Exp,Train,-15.627208
Cc1ccc(N)cc1,c1ccccc1,-7.59,14985,Exp,Train,-7.4517083
c1cc2ccc3cccc4ccc(c1)c2c34,CNC=O,-11.85,22795,Exp,Train,-11.992398
c1ccncc1,CCCCOCCCC,-4.65,23549,Exp,Train,-4.6365075
CCCCCCO,O,-4.380000000000001,9143,Exp,Train,-4.462064
[H][H],Clc1ccccc1,1.65,22612,Exp,Train,1.698728
CCC(C)=O,O=S1(=O)CCCC1,-4.09,6044,Exp,Train,-4.0196505
CCCCCCCC,CCOCCOCCOCC,-4.65,8204,Exp,Train,-4.617574
O=c1[nH]cc(F)c(=O)[nH]1,CCCCCCCCO,-15.71,21592,Exp,Train,-15.604128
CCCCCC(=O)CC(C)=O,O,-4.3,7579,Exp,Train,-4.08747
COC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,O,-6.89,12906,Exp,Train,-6.936586
C,COC(C)=O,0.3,387,Exp,Train,0.32730183
Cc1ccccc1C,NCCO,-4.08,15558,Exp,Train,-4.1969614
CCCCCCCC,CCBr,-5.465,8166,Exp,Train,-5.36503
CC(C)CC(=O)O,CC(C)CC(=O)O,-7.71,3796,Exp,Train,-7.6402526
CCCCO,CCCO,-6.1,9549,Exp,Train,-6.074292
CC(C)C(C)C(C)C,CC(C)CCO,-4.31,3608,Exp,Train,-4.3136454
C1COCCO1,CCCO,-4.5600000000000005,1003,Exp,Train,-4.4980845
c1ccccc1,CC(C)(C)O,-3.71,23414,Exp,Train,-3.75708
CO,Cc1ccccc1,-2.34,12675,Exp,Train,-2.3160732
O=Cc1cccc(O)c1,c1ccccc1,-9.29,20826,Exp,Train,-9.130511
c1ccc2cc3ccccc3cc2c1,CCO,-10.39,23307,Exp,Train,-10.301722
CCCOC(C)=O,CCCCCCCCC,-4.07,10069,Exp,Train,-3.988605
CCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-2.8,7416,Exp,Train,-2.8328795
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,CCCCCCCCO,-8.85,16307,Exp,Train,-8.743679
CCCCO,CC(Br)Br,-4.65,9519,Exp,Train,-4.724265
CC(=O)c1ccccc1,ClC(Cl)Cl,-7.81,3007,Exp,Train,-7.793604
FS(F)(F)(F)(F)F,Cc1ccc(C)cc1,0.19,17096,Exp,Train,0.20487306
CCCCCCC(C)C(C)C,CCCCCCC(C)C(C)C,-6.83,7925,Exp,Train,-6.811946
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,O,-1.69,16308,Exp,Train,-1.7131197
CCCCC,CC#N,-2.15,7409,Exp,Train,-2.1025558
CCCO,CC(C)CC(C)(C)C,-3.0,9956,Exp,Train,-3.006242
CC(=O)OCC(COC(C)=O)OC(C)=O,O,-8.84,2792,Exp,Train,-8.570353
c1ccc2ncccc2c1,O,-5.72,23388,Exp,Train,-5.775883
CCOC=O,ClC(Cl)Cl,-4.37,11201,Exp,Train,-4.37495
C(=Cc1ccccc1)c1ccccc1,CCCCCCC,-10.17,312,Exp,Train,-10.225119
CCCCCOC(C)=O,Clc1ccccc1,-6.49,9323,Exp,Train,-6.397795
CC(=O)C(C)(C)C,CCCCCCCCCC,-4.15,2300,Exp,Train,-4.136064
CCCCCC,C=CCCCC,-4.02,7712,Exp,Train,-3.9989681
CCCCCCC,S=C=S,-4.76,8077,Exp,Train,-4.798791
BrCCBr,ClC(Cl)(Cl)Cl,-5.33,36,Exp,Train,-5.382423
CCC1CCCCC1,Cc1ccccc1,-5.37,6574,Exp,Train,-5.3479514
ClCCCl,Brc1cccc2ccccc12,-4.18,16098,Exp,Train,-4.1368184
Clc1ccc(Cl)cc1,CCCCCCC,-5.81,16462,Exp,Train,-5.7807493
CC(C)=O,CN1CCN(C)C1=O,-3.61,3518,Exp,Train,-3.5617456
CCCCCC,OCCCCO,-1.88,7844,Exp,Train,-1.8412403
CCC(C)C(C)=O,CCC(C)C(C)=O,-5.31,6089,Exp,Train,-5.29937
O=C(c1ccccc1[N+](=O)[O-])N(O)c1ccccc1,O,-14.49,20142,Exp,Train,-14.2435665
C[S](C)(c1cc(Cl)c(Cl)cc1Cl)=P([O-])([O-])[O-],O,-5.06,14431,Exp,Train,-4.7401123
c1cc2c3c(cccc3c1)CC2,CO,-8.21,22737,Exp,Train,-8.315612
C=CCC=CC,O,1.09,1819,Exp,Train,0.8137108
C=CC,CC(C)O,-1.32,1629,Exp,Train,-1.3305373
CCC=O,[H]O[H],-3.31,6654,Exp,Train,-3.4966679
C[N+](=O)[O-],CCC(C)=O,-5.175000000000001,14355,Exp,Train,-5.114423
CCCCCCCCC,CC(C)O,-5.01,8357,Exp,Train,-5.02391
Cc1ccc(C(=O)O)cc1,C=CCCCCCCCCCCCCCC,-6.96,14825,Exp,Train,-6.9001603
CCO,CCOC(=O)c1ccccc1C(=O)OCC,-3.54,10730,Exp,Train,-3.4533365
CCCCOCC,CCC(C)Cl,-4.73,9701,Exp,Train,-4.7080946
Cc1cc(C)c(C)cc1C,CCCCCO,-6.71,14613,Exp,Train,-6.6688137
C=C,CO,-0.51,1352,Exp,Train,-0.50974876
CCCCCC=O,CCCCCCCCO,-5.95,7883,Exp,Train,-5.579921
CCC(C)N,CCC(C)N,-4.12,6188,Exp,Train,-4.144567
CCCCOC(C)=O,[H]O[H],-2.76,9681,Exp,Train,-2.5595634
ClCCCl,CCCCCCCCN(CCCCCCCC)CCCCCCCC,-3.6,16111,Exp,Train,-3.5334768
CC(C)CO,CN1CCCC1=O,-6.03,4202,Exp,Train,-5.9969864
N#N,CC(C)O,1.13,17367,Exp,Train,1.1469748
CCCOCC,CCCOCC,-4.02,10118,Exp,Train,-4.0030446
C=CCC,CCC(C)CO,-1.98,1775,Exp,Train,-1.9905726
C[N+](=O)[O-],CCCCCCCCCC,-2.75,14362,Exp,Train,-2.6884801
c1ccnnc1,c1ccnnc1,-8.04,23563,Exp,Train,-5.94204
ClC(Cl)(Cl)Cl,CCOC(=O)c1ccccc1C(=O)OCC,-3.77,15895,Exp,Train,-3.7417674
CNc1nc(NC(C)C)nc(SC)n1,O,-10.5,12607,Exp,Train,-10.367914
CCBr,CCCCCl,-3.51,5630,Exp,Train,-3.4925244
C=CCCCCCCC,O,2.06,1998,Exp,Train,2.1095529
Cc1cccc(C)c1,OCCO,-3.42,15242,Exp,Train,-3.4294457
CC(C)COC(C)(C)C,CC(C)COC(C)(C)C,-4.97,4231,Exp,Train,-4.92934
CC(C)(C)O,c1ccccc1,-3.7,3255,Exp,Train,-3.7070887
CCCCCCCC,CCCCCO,-4.62,8189,Exp,Train,-4.6013546
c1ccc2cc3ccccc3cc2c1,Clc1ccccc1,-11.53,23325,Exp,Train,-11.579109
C1=CCCCC1,N#Cc1ccccc1,-3.95,600,Exp,Train,-3.8972855
COC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,CN(C)C=O,-11.57,12905,Exp,Train,-11.555907
CCCC=O,[H]O[H],-3.11,7113,Exp,Train,-3.1318367
C#CC,OCCCOCCCO,-1.53,166,Exp,Train,-1.5260677
CCCC(=O)OCC,CN1CCCC1=O,-4.9,6753,Exp,Train,-4.849199
c1ccc2c(c1)CCCC2,OCCOCCOCCO,-6.07,23003,Exp,Train,-6.1529303
ClCCCl,Cc1ccccc1C,-4.42,16127,Exp,Train,-4.3928185
CCCCCCC,CC1COC(=O)O1,-2.54,7979,Exp,Train,-2.5477347
CCC(C)(C)O,CCC(C)(C)O,-5.46,5886,Exp,Train,-5.39006
CCC=O,C=CCCCCCCCCCCCCCC,-2.47,6643,Exp,Train,-2.4459176
CCCCCOC(C)=O,ClC(Cl)Cl,-7.36,9322,Exp,Train,-7.283477
CCCCCCCC/C=C/CCCCCCCC(=O)OC,CCCCCCCC/C=C/CCCCCCCC(=O)OC,-13.6,8267,Exp,Train,-12.725737
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,CCCCCCCCCCO,-13.6,19371,Exp,Train,-13.590107
CCCCCCCCCCO,CCCCCC,-7.69,8887,Exp,Train,-7.7990465
FC(F)CC(F)(F)F,FC(F)CC(F)(F)F,-3.06,17005,Exp,Train,-3.016312
CCCCCCC,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-4.01,7987,Exp,Train,-4.009506
ClC(Cl)Cl,CCCCC,-3.26,15969,Exp,Train,-3.3576837
NC(=O)c1ccccc1O,Fc1ccccc1,-10.61,17641,Exp,Train,-10.5439205
C1CCCCC1,OCCS,-2.58,832,Exp,Train,-2.5765343
CCCCCCCCCCCCCCCCCCCC,COC(C)(C)C,-13.51,8669,Exp,Train,-13.720035
O=C=S,O=C=S,-2.13,20678,Exp,Train,-2.1129484
CC#N,CCO,-3.96,2246,Exp,Train,-3.9183507
C=CCSCC=C,C=CCSCC=C,-5.7,2100,Exp,Train,-5.676844
FC(F)(F)F,Cc1ccccc1C,1.21,16944,Exp,Train,1.1997052
CCOOCC,O,-5.32,11303,Exp,Train,-5.2611246
CC1CCCC1,CN(C)C=O,-3.0,5394,Exp,Train,-2.9838145
CCC[N+](=O)[O-],O,-3.36,10216,Exp,Train,-3.3906586
Cc1cccc(O)c1C,CC(C)CC(C)(C)C,-6.27,15330,Exp,Train,-6.383639
CC(=O)O,OCc1ccccc1,-6.96,2699,Exp,Train,-6.848694
CCCCCCCCCCO,CCCCCCCC,-7.87,8888,Exp,Train,-7.889664
[N-]=[N+]=O,CO,-0.69,22659,Exp,Train,-0.6091117
O,C1COCCO1,-4.37,18506,Exp,Train,-4.393701
c1ccc2ccccc2c1,C1CCOC1,-8.21,23332,Exp,Train,-8.323865
CCC1CCCCC1,OCCO,-2.11,6597,Exp,Train,-2.0274796
ClCCl,CCOC(=O)c1ccccc1C(=O)OCC,-3.51,16182,Exp,Train,-3.4446776
C=CC=CC=C,C=CCCCCCCCCCCCCCC,-3.78,1740,Exp,Train,-3.6587992
CC[N+](=O)[O-],CC[N+](=O)[O-],-5.5600000000000005,11635,Exp,Train,-5.5179996
FS(F)(F)(F)(F)F,CCCCCCCCCCC,0.0,17075,Exp,Train,0.026844595
CCCCCCO,BrC(Br)Br,-6.2,9107,Exp,Train,-6.2615056
CCCCC,COC(C)=O,-2.66,7478,Exp,Train,-2.6148295
O=Nc1c(O)ccc2ccccc12,O,-7.31,20878,Exp,Train,-7.4412646
CCCCl,C1CCOC1,-3.88,9837,Exp,Train,-3.8572376
CCCCOCCCC,CCCCOCCCC,-5.775,9715,Exp,Train,-5.861629
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,-17.7,8115,Exp,Train,-17.65156
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,O,-6.96,9298,Exp,Train,-6.883627
C1COCCO1,OCCO,-4.29,1049,Exp,Train,-4.291938
CCc1ccccc1,CC(C)O,-4.88,11774,Exp,Train,-4.8983717
CC=C(C)C,N#Cc1ccccc1,-2.89,5551,Exp,Train,-2.8401058
C1CCCC1,CO,-2.62,678,Exp,Train,-2.5927489
[H][H],CCCN,1.35,22591,Exp,Train,1.4307593
O=CO,C=CCCCCCCC=C,-2.89,20712,Exp,Train,-2.8923752
CCF,O,0.41,10306,Exp,Train,0.34898737
CCOC(C)(C)C,CCOC(C)(C)C,-4.14,11078,Exp,Train,-4.0836635
[H][H],C1CCOC1,1.47,22534,Exp,Train,1.4719442
O=c1c2ccccc2sc2ccccc12,CO,-11.48,21682,Exp,Train,-11.593532
C=CCC,CCCCCC,-2.49,1780,Exp,Train,-2.4819674
CC(C)CCC(C)C,CC(=O)O,-3.59,3984,Exp,Train,-3.5842617
CC(C)C#N,[H]O[H],-3.29,3558,Exp,Train,-3.2765727
CCCCO,Cc1ccccc1,-4.31,9563,Exp,Train,-4.3105373
CCCl,CO,-2.63,10281,Exp,Train,-2.6151474
C=C(C)C(=O)OCCOC(=O)CC(C)=O,C=C(C)C(=O)OCCOC(=O)CC(C)=O,-10.5,1145,Exp,Train,-10.239843
FC(F)F,O,0.7,17020,Exp,Train,0.712686
C1CCCCC1,S=C=S,-4.49,837,Exp,Train,-4.505096
Cc1ccccc1,C[N+](=O)[O-],-4.52,15435,Exp,Train,-4.5528727
COC(C)=O,C1CCC2CCCCC2C1,-2.9,13031,Exp,Train,-2.7979083
c1ccncc1,Cc1ccccc1C,-5.12,23555,Exp,Train,-5.0606356
CCCCCC(=O)O,CC(Cl)Cl,-7.33,7593,Exp,Train,-7.397823
C=CC(C)(CCC=C(C)C)OC(=O)CCC,O,-3.38,1560,Exp,Train,-3.5477645
CCC(C)c1ccccc1,CCC(C)c1ccccc1,-6.61,6245,Exp,Train,-6.649106
C=CC=C,ClCCl,-2.83,1731,Exp,Train,-2.818869
c1ccc2cc3ccccc3cc2c1,CCCCCCCCO,-10.385000000000002,23293,Exp,Train,-10.469646
C[C@H]1CCC[C@H]1C,C[C@H]1CCC[C@H]1C,-4.76,14266,Exp,Train,-4.636555
CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,O,-20.65,11902,Exp,Train,-20.626305
CC(C)CCC(C)C,CC(=O)N(C)C,-3.54,3983,Exp,Train,-3.5204325
CCCCCC(=O)O,CCCCCCCCO,-8.82,7599,Exp,Train,-8.721904
Cc1ccccc1,CC[N+](=O)[O-],-4.88,15423,Exp,Train,-4.934598
FC(F)=C(F)C(F)(F)F,COCCO,3.88,16972,Exp,Train,1.7116745
CC(C)CC(C)(C)C,OCCO,-1.05,3826,Exp,Train,-0.9299931
O=Cc1ccccc1,CCCCCCCCO,-6.13,20834,Exp,Train,-6.0589194
CC(C)C(C)C(C)C,O=C1CCCO1,-3.01,3665,Exp,Train,-3.0210283
CCc1cc(CC)c(CC)c(CC)c1,CCc1cc(CC)c(CC)c(CC)c1,-9.28,11663,Exp,Train,-9.102987
c1cc2ccc3cccc4ccc(c1)c2c34,CCCCC(CC)CO,-11.66,22772,Exp,Train,-11.834199
O=C(Oc1ccccc1)c1ccccc1O,CCCO,-12.43,20049,Exp,Train,-12.375679
C1CCCCC1,ClC(Cl)(Cl)Cl,-4.44,797,Exp,Train,-4.427117
CCCCCCCCC=O,O,-2.08,8437,Exp,Train,-2.0211506
NC(=O)c1ccccc1O,CCCCCCO,-11.97,17625,Exp,Train,-11.890785
C[N+](=O)[O-],C1CCOC1,-5.065,14339,Exp,Train,-5.0610957
C=CCCCCCC,O=CN1CCOCC1,-3.4,1990,Exp,Train,-3.3703575
CC(C)=O,CCCCCC(C)C,-2.44,3491,Exp,Train,-2.4436555
O=S1(=O)CCCC1,O,-8.61,21102,Exp,Train,-8.372556
CCO,c1ccc(COCc2ccccc2)cc1,-3.38,10788,Exp,Train,-3.2819612
CC(C)O,COC(C)(C)C,-4.22,4376,Exp,Train,-4.211589
O=c1[nH]cc(Cl)c(=O)[nH]1,CCCCCCCCO,-17.26,21589,Exp,Train,-17.033121
CC(=O)OC(C)C,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-3.52,2714,Exp,Train,-3.4197667
CCBr,C=CCCCCCCCCCCCCCC,-2.91,5619,Exp,Train,-2.8711073
C=CCCCC,COC(C)=O,-3.51,1900,Exp,Train,-3.4508507
CC#N,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-1.87,2235,Exp,Train,-1.7554446
CCC(C)Cl,C1CCOCC1,-4.24,6176,Exp,Train,-4.2334847
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,CCCCCCCCO,-9.965,16251,Exp,Train,-9.931567
CCCOP(=O)(OCCC)OCCC,ClC(Cl)Cl,-11.11,10157,Exp,Train,-11.01754
CCN(CC)CC,CCCCCCCCCCCCCCCC,-3.99,10433,Exp,Train,-3.9493256
CC(C)CCC(C)C,CCOCC,-4.91,4018,Exp,Train,-4.936878
CC(=O)OC(C)(C)C,CC(=O)OC(C)(C)C,-4.82,2704,Exp,Train,-4.714443
C1CCCCC1,CCCCOCC,-4.07,763,Exp,Train,-4.126175
CC(C)C#N,CCCCCCCCO,-3.92,3556,Exp,Train,-3.8684282
CCCO,CCCCC,-2.76,9965,Exp,Train,-2.7963743
OC1CCCCC1,Brc1ccccc1,-6.47,21830,Exp,Train,-6.545665
Cc1ccc(C)cc1,ClC(Cl)(Cl)Cl,-5.73,14903,Exp,Train,-5.78255
C/C=C\C=C\C,C/C=C\C=C\C,-4.49,525,Exp,Train,-4.460328
C1=COCC1,C1=COCC1,-4.08,620,Exp,Train,-4.296357
c1ccc2c(c1)Cc1ccccc1-2,CCCCCCC,-9.3,23021,Exp,Train,-9.441591
COC=O,NC=O,-3.07,13195,Exp,Train,-3.086048
SCCOCCS,SCCOCCS,-8.2,22514,Exp,Train,-8.30763
C=CCCCCC,CN(C)C=O,-3.36,1943,Exp,Train,-3.3848035
O=C(O)c1cc([N+](=O)[O-])ccc1Cl,CCCCCCCCO,-12.57,19408,Exp,Train,-12.682539
CCCCCC,N#CCc1ccccc1,-2.62,7826,Exp,Train,-2.6390605
CCCC=O,C=CCCCC,-3.65,7095,Exp,Train,-3.5988436
O=C(O)c1ccc2ccccc2c1,C=CCCCCCCCCCCCCCC,-9.37,19669,Exp,Train,-9.215582
CCCCC(C)CC(C)C,CCCCC(C)CC(C)C,-6.04,7279,Exp,Train,-6.0342126
CC(C)(C)O,CCCOCCC,-3.92,3245,Exp,Train,-3.8750713
C1COCCN1,C1COCCO1,-5.72,965,Exp,Train,-5.6754203
CCc1cc(CC)cc(CC)c1,CCc1cc(CC)cc(CC)c1,-7.88,11665,Exp,Train,-7.925677
O=C(O)c1cc([N+](=O)[O-])ccc1Cl,CCCCO,-12.86,19417,Exp,Train,-13.087636
C1CCNCC1,C1CCOC1,-5.22,879,Exp,Train,-5.2500854
ClCBr,c1ccccc1,-4.32,16063,Exp,Train,-4.304601
Clc1ccccc1,CCCCCCC,-5.16,16611,Exp,Train,-5.1236587
CCN,CC(Cl)Cl,-3.19,10534,Exp,Train,-3.1747594
ClC(Cl)(Cl)Cl,CCCCCCCCO,-3.79,15881,Exp,Train,-3.760032
FC(F)C(F)C(F)(F)F,FC(F)C(F)C(F)(F)F,-2.82,17000,Exp,Train,-2.7603898
c1ccccc1,CC1CCS(=O)(=O)C1,-4.11,23422,Exp,Train,-4.11721
FS(F)(F)(F)(F)F,CCCCCCO,0.34,17086,Exp,Train,0.36626104
CCCCC(=O)OC,O,-2.565,7203,Exp,Train,-2.4454026
CCN(CC)CC,O=C1CCCCC1,-4.11,10459,Exp,Train,-4.062326
O=S(=O)(c1ccccc1)c1ccccc1,CCC(C)CO,-13.18,21067,Exp,Train,-13.127364
c1cc2ccc3cccc4ccc(c1)c2c34,Cc1ccc(C)cc1,-12.8,22801,Exp,Train,-12.810457
CCOCCOCCOCCO,CCOCCOCCOCCO,-9.94,11281,Exp,Train,-9.83382
FC(F)=CCl,O,0.52,16988,Exp,Train,0.56416506
CCCCOCCOCCOCCO,CCCCOCCOCCOCCO,-10.4,9741,Exp,Train,-10.273874
NCCCCCN,NCCCCCN,-7.17,17803,Exp,Train,-7.1565228
CCC(C)=O,CC(=O)O,-4.82,5954,Exp,Train,-4.7890778
COP(=S)(OC)SCn1nnc2ccccc2c1=O,O,-10.03,13367,Exp,Train,-9.988037
COc1ccc(O)cc1,CCCCCC,-7.15,13802,Exp,Train,-7.1252427
C/C=C/C=O,C/C=C/C=O,-5.03,487,Exp,Train,-5.0059943
CCCC,Cc1cccc(C)c1,-2.34,7048,Exp,Train,-2.3285596
ClCCl,C1COCCO1,-4.09,16150,Exp,Train,-4.070817
Cc1ccc(Br)cc1,CCCCCCCCCCCCCCCC,-6.19,14811,Exp,Train,-6.037505
CCCC(C)=O,[H]O[H],-3.38,6851,Exp,Train,-3.3809395
CCS,CC(C)CC(C)(C)C,-3.13,11532,Exp,Train,-3.1288269
CCCCC(=O)O,O,-6.145,7174,Exp,Train,-6.0151534
CCCCCC,CC(C)CCO,-3.31,7726,Exp,Train,-3.3426023
Oc1ccccc1Cl,CCCCCCCCCC,-5.63,22386,Exp,Train,-5.4908156
FC(Cl)(Cl)C(F)(Cl)Cl,COC(C)(C)C,-4.68,16776,Exp,Train,-4.660659
O=C(O)c1ccc(Cl)cc1,CC(C)(C)O,-10.49,19518,Exp,Train,-10.429957
CC(C)C(=O)C(C)C,O,-2.56,3561,Exp,Train,-2.4602518
Cc1ccccc1,CC(C)CCO,-4.47,15377,Exp,Train,-4.5297775
CCCC=O,CCCCCO,-3.7,7105,Exp,Train,-4.139809
CCC(C)Cl,O,0.07,6185,Exp,Train,0.009539131
ICI,CCCCCCCCCCCCCCCC,-5.26,17163,Exp,Train,-5.2568192
CC(=O)Nc1ccc(O)cc1,CC(O)COC(C)(C)C,-15.51,2591,Exp,Train,-15.2149
O=C=O,O=C1CCCC1,-0.89,20664,Exp,Train,-0.86501324
C(=C\c1ccccc1)\c1ccccc1,C(=C\c1ccccc1)\c1ccccc1,-9.77,295,Exp,Train,-10.266008
CCOCC(C)OC(C)=O,CCOCC(C)OC(C)=O,-6.71,11207,Exp,Train,-6.6192837
C[N+](=O)[O-],OCCOCCOCCO,-4.01,14414,Exp,Train,-3.931396
CCCCC=O,CCCCCC(C)C,-4.24,7558,Exp,Train,-4.1926455
Cc1ccc2occ(C)c2c1,Cc1ccc2occ(C)c2c1,-7.87,15179,Exp,Train,-7.7856355
COC(C)(C)C,CCNC=O,-3.21,13010,Exp,Train,-3.1522691
O=[N+]([O-])c1ccc(CCl)cc1,CCCO,-8.54,21322,Exp,Train,-8.486435
CCCCCCC,N#CCCCCC#N,-2.45,8052,Exp,Train,-2.4160926
CCCCCCCCC,CCBr,-5.96,8360,Exp,Train,-5.9746933
CS(=O)(=O)Cl,CS(=O)(=O)Cl,-6.82,14080,Exp,Train,-6.745858
CCCC,CCCCCCCCCCCCCCC,-2.24,7028,Exp,Train,-2.2169242
FC(F)(Cl)C(F)(Cl)Cl,ClC(Cl)Cl,-3.46,16818,Exp,Train,-3.4737222
c1ccc(-c2ccccc2)cc1,CCCC(C)O,-8.25,22839,Exp,Train,-8.304188
C=CC(C)OC(C)=O,C=CC(C)OC(C)=O,-5.27,1602,Exp,Train,-5.1238713
CCC1CCCCC1,OCCCCO,-3.26,6595,Exp,Train,-3.2614393
C1CCCCC1,C1CCNC1,-4.04,700,Exp,Train,-4.0261145
ClC/C=C/CCl,ClC/C=C/CCl,-6.42,16014,Exp,Train,-6.4057965
O=C(O)c1cccc(Cl)c1,CC(C)O,-10.71,19701,Exp,Train,-10.649382
CBr,O,-0.82,2218,Exp,Train,-0.8169869
CCCCCC,CCOC(=O)c1ccccc1C(=O)OCC,-2.73,7783,Exp,Train,-2.724924
OC(Cl)CCCl,CCCCCCCCCCO,-7.0,21797,Exp,Train,-7.0889897
CCCSSCC,CCCSSCC,-6.63,10193,Exp,Train,-6.5324354
Clc1cc2c(cc1Cl)Oc1ccccc1O2,O,-3.56,16366,Exp,Train,-3.6516683
CCCC,CCCCCCCCCCCCC,-2.31,7026,Exp,Train,-2.2990596
C[N+](=O)[O-],Cc1ccc(C)cc1,-4.13,14387,Exp,Train,-4.054663
CCCl,CC(C)CO,-2.43,10265,Exp,Train,-2.4170537
CCCCCCOCCOCCOCCO,CCCCCCOCCOCCOCCO,-11.0,9186,Exp,Train,-10.799297
CC=O,CC(=O)N(C)C,-3.22,5602,Exp,Train,-3.2141938
O=C(O)c1cccc(Cl)c1,O,-7.03,19717,Exp,Train,-6.954334
ClC(Cl)C(Cl)Cl,CCCCCCCCCCCCCCCC,-5.21,15949,Exp,Train,-5.1916714
CC(C)C,CCCCC,-2.38,3711,Exp,Train,-2.3976483
CCCCCC(C)=O,CCCCCC(C)=O,-6.18,7655,Exp,Train,-6.1898265
CCNCC,c1ccccc1,-4.02,10635,Exp,Train,-4.004502
Nc1ccc(-c2ccc(N)cc2)cc1,Cc1ccccc1C,-15.66,18108,Exp,Train,-15.785541
CC(=O)OC(C)C,CC(=O)OC(C)C,-4.66,2713,Exp,Train,-4.643081
CCCCC(=O)O,CCC(C)O,-7.61,7160,Exp,Train,-7.8909082
II,CCCCCl,-5.63,17172,Exp,Train,-5.671811
O=S(=O)(c1ccccc1)c1ccccc1,CCCCOC(C)=O,-14.24,21080,Exp,Train,-14.11896
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,O=C1CCCCC1,-19.62,12296,Exp,Train,-19.543442
Cc1ccccc1N,CCCCCC,-6.13,15583,Exp,Train,-6.0645914
CCCCCCCCCCCCCCCCCCCCCCC,CCOC(C)=O,-14.38,8696,Exp,Train,-14.357111
ClC(Cl)(Cl)Cl,CC#N,-3.66,15865,Exp,Train,-3.7292852
Cn1cccc1,O,-2.89,16721,Exp,Train,-3.052013
CC(C)C,CCCCCCCCO,-1.45,3718,Exp,Train,-1.4806473
C=CC,C=CC,-2.04,1624,Exp,Train,-2.0409367
CCC,Clc1ccccc1,-1.61,6421,Exp,Train,-1.5914987
CC(C)CCO,CCCCCC,-4.05,4126,Exp,Train,-4.078215
CC(C)C(C)C(C)C,CC(C)CC(C)(C)C,-4.9,3606,Exp,Train,-4.915283
CCCC,CC(C)(C)O,-2.07,7006,Exp,Train,-2.0903869
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,CCOCC,-13.86,19383,Exp,Train,-13.77276
Cc1ccc(O)c(C)c1,CCCCCCCC,-6.46,15024,Exp,Train,-6.5103827
Nc1ccc(C(=O)O)cc1,CCCCO,-14.09,18132,Exp,Train,-13.903566
c1ccccc1,OCCOCCOCCOCCO,-3.56,23514,Exp,Train,-3.499445
CCO,CC(C)OC(C)C,-3.835,10696,Exp,Train,-3.8229122
