solute,solvent,logS,DGsolv,Reference (DOI),Comments,can_smiles_solute,can_smiles_solvent,concat_smiles,is_chonps_halogens,index,solvent_iupac_name,m062x,AE,SE
CC(C)CC(C)C,ClC(Cl)(Cl)Cl,,-4.29,10.1016/j.cej.2021.129307,"['Abraham Paper (A7)', 'CompSol Binary (entry number=57563)', 'CompSol Binary (entry number=57564)']",CC(C)CC(C)C,ClC(Cl)(Cl)Cl,CC(C)CC(C)C.ClC(Cl)(Cl)Cl,True,3894,CarbonTetraChloride,-4.17,0.1200000000000001,0.014400000000000026
CCCCCC,CO,,-2.82,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)', 'CompSol Binary (entry number=47503)', 'CompSol Binary (entry number=47510)', 'CompSol Binary (entry number=47513)']",CCCCCC,CO,CCCCCC.CO,True,7797,Methanol,-2.94,0.1200000000000001,0.014400000000000026
C1COCCO1,ClCCl,,-5.33,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C1COCCO1,ClCCl,C1COCCO1.ClCCl,True,1033,Dichloromethane,-5.45,0.1200000000000001,0.014400000000000026
Cc1ccccc1,S=C=S,,-5.359999999999999,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.03,Cc1ccccc1,S=C=S,Cc1ccccc1.S=C=S,True,15472,CarbonDiSulfide,-5.48,0.120000000000001,0.014400000000000239
CCC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,CC(C)(C)CC(C)C,,-11.63,10.1016/j.cej.2021.129307,"['Abraham Paper (A31)', 'Abraham Paper (A38)']",CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,CC(C)CC(C)(C)C,CCc1ccc2c(c1)C(=O)c1ccccc1C2=O.CC(C)CC(C)(C)C,True,11713,"2,2,4-TriMethylPentane",-11.51,0.120000000000001,0.014400000000000239
CCCCC=C,CCCCCCCCO,,-3.115,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.18,C=CCCCC,CCCCCCCCO,C=CCCCC.CCCCCCCCO,True,1886,n-Octanol,-2.99,0.125,0.015625
Clc1ccccc1,CCCCCCCCCCCCCCCC,,-4.965,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.02,Clc1ccccc1,CCCCCCCCCCCCCCCC,Clc1ccccc1.CCCCCCCCCCCCCCCC,True,16614,n-Hexadecane,-5.09,0.125,0.015625
CC(=O)NC1=CC=C(C=C1)O,CCCO,,-16.08,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CC(=O)Nc1ccc(O)cc1,CCCO,CC(=O)Nc1ccc(O)cc1.CCCO,True,2601,1-Propanol,-15.95,0.129999999999999,0.01689999999999974
FC(F)(F)F,O,,3.1500000000000004,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,FC(F)(F)F,O,FC(F)(F)F.O,True,16948,Water,3.28,0.12999999999999945,0.016899999999999856
CCCCCOC(C)=O,CCCCCCCCCCCCCCC,,-5.18,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCCOC(C)=O,CCCCCCCCCCCCCCC,CCCCCOC(C)=O.CCCCCCCCCCCCCCC,True,9313,n-Pentadecane,-5.31,0.1299999999999999,0.01689999999999997
CCC(O)=O,c1ccccc1,,-4.75,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCC(=O)O,c1ccccc1,CCC(=O)O.c1ccccc1,True,5746,Benzene,-4.62,0.1299999999999999,0.01689999999999997
CCCCCC,CCBr,,-4.08,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=34101)'],CCCCCC,CCBr,CCCCCC.CCBr,True,7734,BromoEthane,-4.21,0.1299999999999999,0.01689999999999997
C1=CC(=CC=C1N)Cl,O,,-5.91,10.1016/j.cej.2021.129307,"['Abraham Paper (A8)', 'FreeSolv (entry number=479)']",Nc1ccc(Cl)cc1,O,Nc1ccc(Cl)cc1.O,True,18152,Water,-5.78,0.1299999999999999,0.01689999999999997
CC(C)(C)CC=C,O,,1.53,10.1016/j.cej.2021.129307,['Abraham Paper (A27)'],C=CCC(C)(C)C,O,C=CCC(C)(C)C.O,True,1758,Water,1.66,0.1299999999999999,0.01689999999999997
C1=C[N+](=CC=C1[N+](=O)[O-])[O-],CCCCCC,,-7.08,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],O=[N+]([O-])c1cc[n+]([O-])cc1,CCCCCC,O=[N+]([O-])c1cc[n+]([O-])cc1.CCCCCC,True,21289,n-Hexane,-7.21,0.1299999999999999,0.01689999999999997
CC(C)C,CC(O)(C)C,,-1.86,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",CC(C)C,CC(C)(C)O,CC(C)C.CC(C)(C)O,True,3699,2-Methyl-2-Propanol,-1.99,0.1299999999999999,0.01689999999999997
CCCCCCCC,N#Cc1ccccc1,,-4.34,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCCCCC,N#Cc1ccccc1,CCCCCCCC.N#Cc1ccccc1,True,8239,BenzoNitrile,-4.47,0.1299999999999999,0.01689999999999997
CCCCC,CC(C)CC(C)(C)C,,-3.24,10.1016/j.cej.2021.129307,"["" 'Abraham Paper (A31)'"", "" 'CompSol Binary (entry number=16533)'"", "" 'CompSol Binary (entry number=16534)'""]",CCCCC,CC(C)CC(C)(C)C,CCCCC.CC(C)CC(C)(C)C,True,7415,"2,2,4-TriMethylPentane",-3.37,0.1299999999999999,0.01689999999999997
CCCCO,CCC(=O)C,,-5.66,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A4)']",CCCCO,CCC(C)=O,CCCCO.CCC(C)=O,True,9527,Butanone,-5.53,0.1299999999999999,0.01689999999999997
C1=CC=C(C(=C1)O)O,CCCCCC,,-5.88,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],Oc1ccccc1O,CCCCCC,Oc1ccccc1O.CCCCCC,True,22403,n-Hexane,-5.75,0.1299999999999999,0.01689999999999997
CCCCCNCc1ccc(C)cc1,O,,-5.21,10.1016/j.cej.2021.129307,['Abraham Paper (A16)'],CCCCCNCc1ccc(C)cc1,O,CCCCCNCc1ccc(C)cc1.O,True,9234,Water,-5.08,0.1299999999999999,0.01689999999999997
CC(C)CCC(C)C,c1ccccc1C#N,,-3.85,10.1016/j.cej.2021.129307,"['Abraham Paper (A26)', 'CompSol Binary (entry number=33838)', 'CompSol Binary (entry number=33839)']",CC(C)CCC(C)C,N#Cc1ccccc1,CC(C)CCC(C)C.N#Cc1ccccc1,True,4042,BenzoNitrile,-3.72,0.1299999999999999,0.01689999999999997
CCCC(C)C,CC(=O)C1=CC=CC=C1,,-2.84,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=14305)', 'CompSol Binary (entry number=14306)']",CCCC(C)C,CC(=O)c1ccccc1,CCCC(C)C.CC(=O)c1ccccc1,True,6872,AcetoPhenone,-2.71,0.1299999999999999,0.01689999999999997
CCCCCC(O)=O,CCCCCCCCCCCCCCCC,,-5.35,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCCC(=O)O,CCCCCCCCCCCCCCCC,CCCCCC(=O)O.CCCCCCCCCCCCCCCC,True,7598,n-Hexadecane,-5.22,0.1299999999999999,0.01689999999999997
Cc1ccccn1,CCCCCCCCCCCCCCCC,,-4.68,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Cc1ccccn1,CCCCCCCCCCCCCCCC,Cc1ccccn1.CCCCCCCCCCCCCCCC,True,15657,n-Hexadecane,-4.55,0.1299999999999999,0.01689999999999997
CCCCCCCCC,CCCC#N,,-5.01,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=34330)', 'CompSol Binary (entry number=34331)']",CCCCCCCCC,CCCC#N,CCCCCCCCC.CCCC#N,True,8363,ButanoNitrile,-5.14,0.1299999999999999,0.01689999999999997
C=CC1=CC=CC=C1,O,,-1.27,10.1016/j.cej.2021.129307,"['Abraham Paper (A10)', 'Abraham Paper (A11)', 'Abraham Paper (A25)', 'FreeSolv (entry number=616)', 'CompSol Binary (entry number=66839)', 'CompSol Binary (entry number=66841)']",C=Cc1ccccc1,O,C=Cc1ccccc1.O,True,2194,Water,-1.4,0.1299999999999999,0.01689999999999997
CCCCCCC(C)O,O,,-3.77,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=64228)', 'CompSol Binary (entry number=64239)']",CCCCCCC(C)O,O,CCCCCCC(C)O.O,True,7932,Water,-3.64,0.1299999999999999,0.01689999999999997
CCOC(=O)c1ccccc1,O,,-3.74,10.1016/j.cej.2021.129307,"['FreeSolv (entry number=111)', 'CompSol Binary (entry number=65811)']",CCOC(=O)c1ccccc1,O,CCOC(=O)c1ccccc1.O,True,11044,Water,-3.87,0.1299999999999999,0.01689999999999997
COCCO,CCCCCCCCCO,,-5.61,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,COCCO,CCCCCCCCCO,COCCO.CCCCCCCCCO,True,13247,1-Nonanol,-5.48,0.1299999999999999,0.01689999999999997
CCOC(C)=O,C1CCCCC1,,-3.56,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCOC(C)=O,C1CCCCC1,CCOC(C)=O.C1CCCCC1,True,11093,CycloHexane,-3.69,0.1299999999999999,0.01689999999999997
C1COCCO1,C(CO)O,,-4.29,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=5145)', 'CompSol Binary (entry number=5146)']",C1COCCO1,OCCO,C1COCCO1.OCCO,True,1049,"1,2-EthaneDiol",-4.42,0.1299999999999999,0.01689999999999997
CN(C)C,CC(C)OC(C)C,,-2.74,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CN(C)C,CC(C)OC(C)C,CN(C)C.CC(C)OC(C)C,True,12044,DiIsoPropylEther,-2.87,0.1299999999999999,0.01689999999999997
CCCC,CCCCCO,,-2.03,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CCCC,CCCCCO,CCCC.CCCCCO,True,7032,1-Pentanol,-1.9,0.1299999999999999,0.01689999999999997
CC(C)CCC(C)C,C1=CC=C(C=C1)Br,,-4.53,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=33987)'],CC(C)CCC(C)C,Brc1ccccc1,CC(C)CCC(C)C.Brc1ccccc1,True,3975,BromoBenzene,-4.4,0.1299999999999999,0.01689999999999997
CCCCCC=C,C1=CC=C(C=C1)N,,-3.24,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=31844)'],C=CCCCCC,Nc1ccccc1,C=CCCCCC.Nc1ccccc1,True,1950,Aniline,-3.37,0.1299999999999999,0.01689999999999997
C1CCCCC1,CC(=O)C,,-3.58,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A4)', 'CompSol Binary (entry number=25784)', 'CompSol Binary (entry number=25786)', 'CompSol Binary (entry number=25792)', 'CompSol Binary (entry number=25796)']",C1CCCCC1,CC(C)=O,C1CCCCC1.CC(C)=O,True,714,Acetone,-3.71,0.1299999999999999,0.01689999999999997
CCCCCCCCO,CC(C)(C)CC(C)C,,-6.52,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],CCCCCCCCO,CC(C)CC(C)(C)C,CCCCCCCCO.CC(C)CC(C)(C)C,True,8963,"2,2,4-TriMethylPentane",-6.39,0.1299999999999999,0.01689999999999997
CCCCCCC,CCCCC=C,,-4.71,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=10972)'],CCCCCCC,C=CCCCC,CCCCCCC.C=CCCCC,True,7960,1-Hexene,-4.58,0.1299999999999999,0.01689999999999997
CC1CCCC1,C1=CC=C(C=C1)CO,,-3.01,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=33686)'],CC1CCCC1,OCc1ccccc1,CC1CCCC1.OCc1ccccc1,True,5407,BenzylAlcohol,-2.88,0.1299999999999999,0.01689999999999997
CC1=CC=CC=C1C,CC(C)(C)CC(C)C,,-5.5,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],Cc1ccccc1C,CC(C)CC(C)(C)C,Cc1ccccc1C.CC(C)CC(C)(C)C,True,15543,"2,2,4-TriMethylPentane",-5.63,0.1299999999999999,0.01689999999999997
CCCCCCCCC,C1=CC=C(C=C1)CO,,-4.36,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=33692)', 'CompSol Binary (entry number=33693)']",CCCCCCCCC,OCc1ccccc1,CCCCCCCCC.OCc1ccccc1,True,8423,BenzylAlcohol,-4.23,0.1299999999999999,0.01689999999999997
CCO,CCC(C)=O,,-4.41,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.05,CCO,CCC(C)=O,CCO.CCC(C)=O,True,10700,Butanone,-4.28,0.1299999999999999,0.01689999999999997
C=CC=C,CCCO,,-2.16,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",C=CC=C,CCCO,C=CC=C.CCCO,True,1718,1-Propanol,-2.29,0.1299999999999999,0.01689999999999997
CCCCC,CCCCCCCCCCCC,,-3.05,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=38261)', 'CompSol Binary (entry number=38262)', 'CompSol Binary (entry number=38265)', 'CompSol Binary (entry number=38266)']",CCCCC,CCCCCCCCCCCC,CCCCC.CCCCCCCCCCCC,True,7439,n-Dodecane,-2.92,0.1299999999999999,0.01689999999999997
CCCCC=C,C(=O)N(C)C,,-2.96,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)', 'CompSol Binary (entry number=50515)', 'CompSol Binary (entry number=50522)']",C=CCCCC,CN(C)C=O,C=CCCCC.CN(C)C=O,True,1895,"n,n-DiMethylFormamide",-3.09,0.1299999999999999,0.01689999999999997
CCOCCO,ClCCl,,-6.06,10.1016/j.cej.2021.129307,['Abraham Paper (A7)'],CCOCCO,ClCCl,CCOCCO.ClCCl,True,11258,Dichloromethane,-5.93,0.1299999999999999,0.01689999999999997
CCCCN,CCCCN,,-4.51,Compsol pure,solute-solvent same,CCCCN,CCCCN,CCCCN.CCCCN,True,9450,ButylAmine,-4.38,0.1299999999999999,0.01689999999999997
CCNCC,Cc1ccccc1,,-3.75,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCNCC,Cc1ccccc1,CCNCC.Cc1ccccc1,True,10630,Toluene,-3.62,0.1299999999999999,0.01689999999999997
CCCCCOC(C)=O,CCC(C)c1ccccc1,,-5.98,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCCOC(C)=O,CCC(C)c1ccccc1,CCCCCOC(C)=O.CCC(C)c1ccccc1,True,9305,sec-ButylBenzene,-6.11,0.1299999999999999,0.01689999999999997
C,CC(O)(C)C,,0.34,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",C,CC(C)(C)O,C.CC(C)(C)O,True,350,2-Methyl-2-Propanol,0.47,0.12999999999999995,0.016899999999999988
C,CCOCC,,-0.03,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],C,CCOCC,C.CCOCC,True,381,DiethylEther,0.1,0.13,0.016900000000000002
CC(C)C,CS(=O)C,,-0.53,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=56874)'],CC(C)C,CS(C)=O,CC(C)C.CS(C)=O,True,3731,DiMethylSulfoxide,-0.66,0.13,0.016900000000000002
CC,O,,1.83,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CC,O,CC.O,True,4913,Water,1.7,0.13000000000000012,0.01690000000000003
CCCC,C(=O)N(C)C,,-1.47,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",CCCC,CN(C)C=O,CCCC.CN(C)C=O,True,7037,"n,n-DiMethylFormamide",-1.6,0.13000000000000012,0.01690000000000003
C1=CC(=CC(=C1)Br)Br,O,,-1.99,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=62485)'],Brc1cccc(Br)c1,O,Brc1cccc(Br)c1.O,True,86,Water,-2.12,0.13000000000000012,0.01690000000000003
CC=C,CCCCCCCC,,-1.71,10.1016/j.cej.2021.129307,"['Abraham Paper (A32)', 'CompSol Binary (entry number=54070)']",C=CC,CCCCCCCC,C=CC.CCCCCCCC,True,1641,n-Octane,-1.84,0.13000000000000012,0.01690000000000003
Cn1cccc1,O,,-2.89,10.1016/j.cej.2021.129307,['FreeSolv (entry number=313)'],Cn1cccc1,O,Cn1cccc1.O,True,16721,Water,-2.76,0.13000000000000034,0.01690000000000009
C1CCCCC1,C1=CC=C(C=C1)N,,-3.07,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=31944)', 'CompSol Binary (entry number=31954)', 'CompSol Binary (entry number=31955)']",C1CCCCC1,Nc1ccccc1,C1CCCCC1.Nc1ccccc1,True,816,Aniline,-3.2,0.13000000000000034,0.01690000000000009
CCCCCC,CCCCCCC,,-3.97,10.1016/j.cej.2021.129307,"['Abraham Paper (A32)', 'CompSol Binary (entry number=42375)', 'CompSol Binary (entry number=42378)', 'CompSol Binary (entry number=42379)', 'CompSol Binary (entry number=42382)']",CCCCCC,CCCCCCC,CCCCCC.CCCCCCC,True,7751,Heptane,-3.84,0.13000000000000034,0.01690000000000009
CN,CCCCCO,,-3.95,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CN,CCCCCO,CN.CCCCCO,True,12267,1-Pentanol,-3.82,0.13000000000000034,0.01690000000000009
CCCCCC#C,CS(=O)C,,-3.95,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=56807)', 'CompSol Binary (entry number=56808)']",C#CCCCCC,CS(C)=O,C#CCCCCC.CS(C)=O,True,236,DiMethylSulfoxide,-3.82,0.13000000000000034,0.01690000000000009
C(C(Cl)Cl)(Cl)Cl,O,,-2.45,10.1016/j.cej.2021.129307,"['Abraham Paper (A25)', 'Abraham Paper (A4)', 'FreeSolv (entry number=380)', 'CompSol Binary (entry number=62003)', 'CompSol Binary (entry number=62013)']",ClC(Cl)C(Cl)Cl,O,ClC(Cl)C(Cl)Cl.O,True,15955,Water,-2.32,0.13000000000000034,0.01690000000000009
CCCC(C)C,CC(C)(C)CC(C)C,,-3.72,10.1016/j.cej.2021.129307,"['Abraham Paper (A31)', 'CompSol Binary (entry number=16373)', 'CompSol Binary (entry number=16374)']",CCCC(C)C,CC(C)CC(C)(C)C,CCCC(C)C.CC(C)CC(C)(C)C,True,6874,"2,2,4-TriMethylPentane",-3.59,0.13000000000000034,0.01690000000000009
Cc1ccccc1,C1CCOC1,,-5.470000000000001,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.03,Cc1ccccc1,C1CCOC1,Cc1ccccc1.C1CCOC1,True,15366,TetraHydroFuran,-5.34,0.13000000000000078,0.016900000000000203
CCCCCCCO,CCCCCCO,,-8.08,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CCCCCCCO,CCCCCCO,CCCCCCCO.CCCCCCO,True,9047,1-Hexanol,-8.21,0.13000000000000078,0.016900000000000203
CCCCCO,CC#N,,-5.85,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=31289)'],CCCCCO,CC#N,CCCCCO.CC#N,True,9239,Acetonitrile,-5.98,0.13000000000000078,0.016900000000000203
CC1=CC=CC=N1,OCC(C)C,,-6.19,10.1016/j.cej.2021.129307,"['Abraham Paper (A1)', 'Abraham Paper (A12)']",Cc1ccccn1,CC(C)CO,Cc1ccccn1.CC(C)CO,True,15654,2-Methyl-1-Propanol,-6.06,0.13000000000000078,0.016900000000000203
CCCCCCC,CCOC1=CC=CC=C1,,-4.15,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=40504)'],CCCCCCC,CCOc1ccccc1,CCCCCCC.CCOc1ccccc1,True,8023,EthylPhenylEther,-4.02,0.13000000000000078,0.016900000000000203
Clc1ccccc1,C1CCCCC1,,-5.1,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,Clc1ccccc1,C1CCCCC1,Clc1ccccc1.C1CCCCC1,True,16598,CycloHexane,-5.23,0.13000000000000078,0.016900000000000203
CCCC(O)=O,CC(C)CC(C)=O,,-7.44,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCC(=O)O,CC(=O)CC(C)C,CCCC(=O)O.CC(=O)CC(C)C,True,6711,4-Methyl-2-Pentanone,-7.31,0.13000000000000078,0.016900000000000203
CCCN,ClC(Cl)Cl,,-4.73,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCN,ClC(Cl)Cl,CCCN.ClC(Cl)Cl,True,9921,Chloroform,-4.6,0.13000000000000078,0.016900000000000203
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,CC(C)(C)CC(C)C,,-11.21,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],c1ccc2c(c1)-c1cccc3cccc-2c13,CC(C)CC(C)(C)C,c1ccc2c(c1)-c1cccc3cccc-2c13.CC(C)CC(C)(C)C,True,22954,"2,2,4-TriMethylPentane",-11.08,0.13000000000000078,0.016900000000000203
C,O,,1.995,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.01,C,O,C.O,True,400,Water,2.13,0.1349999999999998,0.018224999999999943
COC(C)=O,CCCCCC,,-3.0250000000000004,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.09,COC(C)=O,CCCCCC,COC(C)=O.CCCCCC,True,13043,n-Hexane,-2.89,0.13500000000000023,0.018225000000000064
C1C2=CC=CC=C2C3=CC=CC=C31,CO,,-8.85,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",c1ccc2c(c1)Cc1ccccc1-2,CO,c1ccc2c(c1)Cc1ccccc1-2.CO,True,23035,Methanol,-8.71,0.1399999999999988,0.019599999999999663
COC1=CC=CC=C1C(=O)O,CCCCCO,,-10.95,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",COc1ccccc1C(=O)O,CCCCCO,COc1ccccc1C(=O)O.CCCCCO,True,13997,1-Pentanol,-10.81,0.1399999999999988,0.019599999999999663
CC(=O)Oc1ccccc1C(O)=O,O,,-9.94,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CC(=O)Oc1ccccc1C(=O)O,O,CC(=O)Oc1ccccc1C(=O)O.O,True,2940,Water,-9.8,0.1399999999999988,0.019599999999999663
CC(C)CC(C)C,C1=CC=C(C=C1)N,,-2.55,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=31860)'],CC(C)CC(C)C,Nc1ccccc1,CC(C)CC(C)C.Nc1ccccc1,True,3904,Aniline,-2.41,0.13999999999999968,0.01959999999999991
C1=CC=CC=C1,CCCCOCCCC,,-4.11,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A9)']",c1ccccc1,CCCCOCCCC,c1ccccc1.CCCCOCCCC,True,23454,DiButylEther,-4.25,0.13999999999999968,0.01959999999999991
OO,ClC(Cl)Cl,,-4.7,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,OO,ClC(Cl)Cl,OO.ClC(Cl)Cl,True,22101,Chloroform,-4.84,0.13999999999999968,0.01959999999999991
CC(C)CC(C)C,ClCCl,,-3.96,10.1016/j.cej.2021.129307,"['Abraham Paper (A7)', 'CompSol Binary (entry number=37584)', 'CompSol Binary (entry number=37585)']",CC(C)CC(C)C,ClCCl,CC(C)CC(C)C.ClCCl,True,3897,Dichloromethane,-4.1,0.13999999999999968,0.01959999999999991
CCCCCCCCC,C1=CC=NC=C1,,-5.13,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=56527)', 'CompSol Binary (entry number=56528)']",CCCCCCCCC,c1ccncc1,CCCCCCCCC.c1ccncc1,True,8426,Pyridine,-4.99,0.13999999999999968,0.01959999999999991
CCCCCC,CC1=CC=CC=C1,,-3.87,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=48920)', 'CompSol Binary (entry number=48923)']",CCCCCC,Cc1ccccc1,CCCCCC.Cc1ccccc1,True,7809,Toluene,-4.01,0.13999999999999968,0.01959999999999991
CCCCCOC(C)=O,CC(C)c1ccccc1,,-6.13,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCCOC(C)=O,CC(C)c1ccccc1,CCCCCOC(C)=O.CC(C)c1ccccc1,True,9303,IsoPropylBenzene,-6.27,0.13999999999999968,0.01959999999999991
CCC=C,CCCCCC,,-2.49,10.1016/j.cej.2021.129307,"['Abraham Paper (A32)', 'CompSol Binary (entry number=44882)']",C=CCC,CCCCCC,C=CCC.CCCCCC,True,1780,n-Hexane,-2.63,0.13999999999999968,0.01959999999999991
CCC(O)=O,CC(C)CC(C)=O,,-6.85,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCC(=O)O,CC(=O)CC(C)C,CCC(=O)O.CC(=O)CC(C)C,True,5717,4-Methyl-2-Pentanone,-6.71,0.13999999999999968,0.01959999999999991
CCCCC(=O)OC,CCCCC,,-4.96,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCC(=O)OC,CCCCC,CCCCC(=O)OC.CCCCC,True,7181,n-Pentane,-4.82,0.13999999999999968,0.01959999999999991
CCCCCOC(C)=O,Cc1ccccc1,,-6.41,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCCOC(C)=O,Cc1ccccc1,CCCCCOC(C)=O.Cc1ccccc1,True,9319,Toluene,-6.55,0.13999999999999968,0.01959999999999991
CCCCCOC(C)=O,CCc1ccccc1,,-6.2,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCCCCOC(C)=O,CCc1ccccc1,CCCCCOC(C)=O.CCc1ccccc1,True,9317,EthylBenzene,-6.34,0.13999999999999968,0.01959999999999991
C1=CC=C(C(=C1)O)Br,CC(C)(C)CC(C)C,,-6.25,10.1016/j.cej.2021.129307,['Abraham Paper (A31)'],Oc1ccccc1Br,CC(C)CC(C)(C)C,Oc1ccccc1Br.CC(C)CC(C)(C)C,True,22372,"2,2,4-TriMethylPentane",-6.11,0.13999999999999968,0.01959999999999991
CCC(O)=O,ClC(Cl)Cl,,-5.37,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,CCC(=O)O,ClC(Cl)Cl,CCC(=O)O.ClC(Cl)Cl,True,5739,Chloroform,-5.51,0.13999999999999968,0.01959999999999991
COC(=O)C1CCCCC1,O,,-3.3,10.1016/j.cej.2021.129307,['FreeSolv (entry number=381)'],COC(=O)C1CCCCC1,O,COC(=O)C1CCCCC1.O,True,12777,Water,-3.16,0.13999999999999968,0.01959999999999991
CCN(CC)CC,CCCCCO,,-4.97,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'Abraham Paper (A2)']",CCN(CC)CC,CCCCCO,CCN(CC)CC.CCCCCO,True,10434,1-Pentanol,-4.83,0.13999999999999968,0.01959999999999991
O=C(OCC)C1=CC=CC=C1C(OCCCCCCCCCC)=O,O,,-6.78,10.1016/j.cej.2021.129307,['Abraham Paper (A18)'],CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCC,O,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCC.O,True,8899,Water,-6.92,0.13999999999999968,0.01959999999999991
CCCC=C,CCCCCCCCO,,-2.63,10.1016/j.cej.2021.129307,['Abraham Paper (A12)'],C=CCCC,CCCCCCCCO,C=CCCC.CCCCCCCCO,True,1839,n-Octanol,-2.49,0.13999999999999968,0.01959999999999991
