solute,solvent,logS,DGsolv,Reference (DOI),Comments,can_smiles_solute,can_smiles_solvent,concat_smiles,is_chonps_halogens,index
CCCCCC=C,C1COCCN1C=O,,-2.89,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)', 'CompSol Binary (entry number=28538)']",C=CCCCCC,O=CN1CCOCC1,C=CCCCCC.O=CN1CCOCC1,True,1954
CCCCCC=C,C1=COC(=C1)C=O,,-3.2,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=20992)'],C=CCCCCC,O=Cc1ccco1,C=CCCCCC.O=Cc1ccco1,True,1955
CCCCCC=C,C(CO)O,,-1.45,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=5182)'],C=CCCCCC,OCCO,C=CCCCCC.OCCO,True,1956
CCCCCC=C,C(COCCO)O,,-2.1,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=16692)', 'CompSol Binary (entry number=16698)', 'CompSol Binary (entry number=16699)']",C=CCCCCC,OCCOCCO,C=CCCCCC.OCCOCCO,True,1957
CCCCCC=C,C(COCCOCCO)O,,-2.27,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=15598)', 'CompSol Binary (entry number=15607)']",C=CCCCCC,OCCOCCOCCO,C=CCCCCC.OCCOCCOCCO,True,1958
CCCCCC=C,C(COCCOCCOCCO)O,,-2.4,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=16034)'],C=CCCCCC,OCCOCCOCCOCCO,C=CCCCCC.OCCOCCOCCOCCO,True,1959
CCCCCC=C,C1=COC(=C1)CO,,-3.1,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=21260)'],C=CCCCCC,OCc1ccco1,C=CCCCCC.OCc1ccco1,True,1960
CCCCCC=C,C1CCC(CC1)C2=CC=CC=C2,,-4.31,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=36705)'],C=CCCCCC,c1ccc(C2CCCCC2)cc1,C=CCCCCC.c1ccc(C2CCCCC2)cc1,True,1961
CCCCCC=C,C1CCC2=CC=CC=C2C1,,-4.37,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=2025)'],C=CCCCCC,c1ccc2c(c1)CCCC2,C=CCCCCC.c1ccc2c(c1)CCCC2,True,1962
CC(C)CCCCCC=C,CC(C)CCCCCC=C,,-6.54,Compsol pure,solute-solvent same,C=CCCCCCC(C)C,C=CCCCCCC(C)C,C=CCCCCCC(C)C.C=CCCCCCC(C)C,True,1964
CCCCCCC=C,CCCCCCC=C,,-5.24,Compsol pure,solute-solvent same,C=CCCCCCC,C=CCCCCCC,C=CCCCCCC.C=CCCCCCC,True,1965
CCCCCCC=C,CC#N,,-3.98,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=31287)', 'CompSol Binary (entry number=31288)']",C=CCCCCCC,CC#N,C=CCCCCCC.CC#N,True,1966
CCCCCCC=C,CCC#N,,-4.66,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=56075)'],C=CCCCCCC,CCC#N,C=CCCCCCC.CCC#N,True,1967
CCCCCCC=C,CCCC#N,,-4.42,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=34281)'],C=CCCCCCC,CCCC#N,C=CCCCCCC.CCCC#N,True,1968
CCCCCCC=C,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,,-4.72,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=45837)'],C=CCCCCCC,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,C=CCCCCCC.CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,True,1969
CCCCCCC=C,CCCCCCC,,-5.17,10.1016/j.cej.2021.129307,['Abraham Paper (A32)'],C=CCCCCCC,CCCCCCC,C=CCCCCCC.CCCCCCC,True,1970
CCCCCCC=C,CCCCCCCCC=CCCCCCCCC(=O)OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC,,-4.65,10.1016/j.cej.2021.129307,['Abraham Paper (A25)'],C=CCCCCCC,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,C=CCCCCCC.CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,True,1971
CCCCCCC=C,CCCCCCCCO,,-4.58,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'CompSol Binary (entry number=13287)']",C=CCCCCCC,CCCCCCCCO,C=CCCCCCC.CCCCCCCCO,True,1972
CCCCCCC=C,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,,-4.62,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=2952)'],C=CCCCCCC,CCCCOC(=O)c1ccccc1C(=O)OCCCC,C=CCCCCCC.CCCCOC(=O)c1ccccc1C(=O)OCCCC,True,1973
CCCCCCC=C,CC(=O)N(CC)CC,,-4.5,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCCCCCC,CCN(CC)C(C)=O,C=CCCCCCC.CCN(CC)C(C)=O,True,1974
CCCCCCC=C,CCN1CCCC1=O,,-4.36,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=10403)'],C=CCCCCCC,CCN1CCCC1=O,C=CCCCCCC.CCN1CCCC1=O,True,1975
CCCCCCC=C,CCNC(=O)C,,-4.23,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCCCCCC,CCNC(C)=O,C=CCCCCCC.CCNC(C)=O,True,1976
CCCCCCC=C,CCNC=O,,-3.97,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCCCCCC,CCNC=O,C=CCCCCCC.CCNC=O,True,1977
CCCCCCC=C,CCOC(=O)C1=CC=CC=C1C(=O)OCC,,-4.11,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=3271)'],C=CCCCCCC,CCOC(=O)c1ccccc1C(=O)OCC,C=CCCCCCC.CCOC(=O)c1ccccc1C(=O)OCC,True,1978
CCCCCCC=C,C(=O)N(C)C,,-3.89,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)', 'CompSol Binary (entry number=50543)']",C=CCCCCCC,CN(C)C=O,C=CCCCCCC.CN(C)C=O,True,1979
CCCCCCC=C,CN1CCCC1=O,,-4.02,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)', 'CompSol Binary (entry number=11435)']",C=CCCCCCC,CN1CCCC1=O,C=CCCCCCC.CN1CCCC1=O,True,1980
CCCCCCC=C,CNC=O,,-3.6,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCCCCCC,CNC=O,C=CCCCCCC.CNC=O,True,1981
CCCCCCC=C,CS(=O)C,,-3.04,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=56822)'],C=CCCCCCC,CS(C)=O,C=CCCCCCC.CS(C)=O,True,1982
CCCCCCC=C,C(CCC#N)CC#N,,-3.31,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=45746)'],C=CCCCCCC,N#CCCCCC#N,C=CCCCCCC.N#CCCCCC#N,True,1983
CCCCCCC=C,NC=O,,-1.58,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCCCCCC,NC=O,C=CCCCCCC.NC=O,True,1984
CCCCCCC=C,C(CO)N,,-2.07,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=19377)'],C=CCCCCCC,NCCO,C=CCCCCCC.NCCO,True,1985
CCCCCCC=C,C1=CC=C(C=C1)N,,-3.82,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=31851)'],C=CCCCCCC,Nc1ccccc1,C=CCCCCCC.Nc1ccccc1,True,1986
CCCCCCC=C,O,,1.93,10.1016/j.cej.2021.129307,"['Abraham Paper (A11)', 'Abraham Paper (A11)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A25)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'FreeSolv (entry number=567)', 'CompSol Binary (entry number=63166)']",C=CCCCCCC,O,C=CCCCCCC.O,True,1988
CCCCCCC=C,C1CC(=O)OC1,,-3.53,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=37736)'],C=CCCCCCC,O=C1CCCO1,C=CCCCCCC.O=C1CCCO1,True,1989
CCCCCCC=C,C1COCCN1C=O,,-3.4,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)', 'CompSol Binary (entry number=28573)']",C=CCCCCCC,O=CN1CCOCC1,C=CCCCCCC.O=CN1CCOCC1,True,1990
CCCCCCC=C,C(CO)O,,-1.81,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=5212)'],C=CCCCCCC,OCCO,C=CCCCCCC.OCCO,True,1991
CCCCCCC=C,C(COCCO)O,,-2.55,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=16734)', 'CompSol Binary (entry number=16740)']",C=CCCCCCC,OCCOCCO,C=CCCCCCC.OCCOCCO,True,1992
CCCCCCC=C,C(COCCOCCO)O,,-2.78,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=15643)'],C=CCCCCCC,OCCOCCOCCO,C=CCCCCCC.OCCOCCOCCO,True,1993
CCCCCCCC=C,CCCCCCCC=C,,-5.83,Compsol pure,solute-solvent same,C=CCCCCCCC,C=CCCCCCCC,C=CCCCCCCC.C=CCCCCCCC,True,1995
CCCCCCCC=C,CCCCCCCCO,,-5.21,10.1016/j.cej.2021.129307,"['Abraham Paper (A12)', 'CompSol Binary (entry number=13286)']",C=CCCCCCCC,CCCCCCCCO,C=CCCCCCCC.CCCCCCCCO,True,1996
CCCCCCCC=C,O,,2.06,10.1016/j.cej.2021.129307,"['Abraham Paper (A11)', 'Abraham Paper (A11)', 'FreeSolv (entry number=42)']",C=CCCCCCCC,O,C=CCCCCCCC.O,True,1998
C=CCCCCCCC=C,C=CCCCCCCC=C,,-6.45,Compsol pure,solute-solvent same,C=CCCCCCCC=C,C=CCCCCCCC=C,C=CCCCCCCC=C.C=CCCCCCCC=C,True,1999
CCCCCCCCC=C,CCCCCCCCC=C,,-6.45,Compsol pure,solute-solvent same,C=CCCCCCCCC,C=CCCCCCCCC,C=CCCCCCCCC.C=CCCCCCCCC,True,2000
CCCCCCCCC=C,C(=O)N(C)C,,-5.12,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCCCCCCCC,CN(C)C=O,C=CCCCCCCCC.CN(C)C=O,True,2001
CCCCCCCCC=C,O,,2.24,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCCCCCCCC,O,C=CCCCCCCCC.O,True,2002
CCCCCCCCC=C,C(COCCO)O,,-3.32,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=16681)'],C=CCCCCCCCC,OCCOCCO,C=CCCCCCCCC.OCCOCCO,True,2003
CCCCCCCCC=C,C(COCCOCCO)O,,-3.58,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=15592)'],C=CCCCCCCCC,OCCOCCOCCO,C=CCCCCCCCC.OCCOCCOCCO,True,2004
CCCCCCCCC=C,C(COCCOCCOCCO)O,,-3.78,10.1016/j.cej.2021.129307,['CompSol Binary (entry number=16031)'],C=CCCCCCCCC,OCCOCCOCCOCCO,C=CCCCCCCCC.OCCOCCOCCOCCO,True,2005
CCCCCCCCCC=C,CCCCCCCCCC=C,,-7.07,Compsol pure,solute-solvent same,C=CCCCCCCCCC,C=CCCCCCCCCC,C=CCCCCCCCCC.C=CCCCCCCCCC,True,2009
CCCCCCCCCCC=C,CCCCCCCCCCC=C,,-7.72,Compsol pure,solute-solvent same,C=CCCCCCCCCCC,C=CCCCCCCCCCC,C=CCCCCCCCCCC.C=CCCCCCCCCCC,True,2011
CCCCCCCCCCC=C,C(=O)N(C)C,,-6.25,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCCCCCCCCCC,CN(C)C=O,C=CCCCCCCCCCC.CN(C)C=O,True,2012
CCCCCCCCCCC=C,O,,2.58,10.1016/j.cej.2021.129307,"['Abraham Paper (A11)', 'Abraham Paper (A11)', 'Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCCCCCCCCCC,O,C=CCCCCCCCCCC.O,True,2013
CCCCCCCCCCCC=C,CCCCCCCCCCCC=C,,-8.33,Compsol pure,solute-solvent same,C=CCCCCCCCCCCC,C=CCCCCCCCCCCC,C=CCCCCCCCCCCC.C=CCCCCCCCCCCC,True,2014
CCCCCCCCCCCCC=C,CCCCCCCCCCCCC=C,,-9.02,Compsol pure,solute-solvent same,C=CCCCCCCCCCCCC,C=CCCCCCCCCCCCC,C=CCCCCCCCCCCCC.C=CCCCCCCCCCCCC,True,2015
CCCCCCCCCCCCCC=C,CCCCCCCCCCCCCC=C,,-9.64,Compsol pure,solute-solvent same,C=CCCCCCCCCCCCCC,C=CCCCCCCCCCCCCC,C=CCCCCCCCCCCCCC.C=CCCCCCCCCCCCCC,True,2016
CCCCCCCCCCCCCCC=C,CCCCCCCCCCCCCCC=C,,-10.2,Compsol pure,solute-solvent same,C=CCCCCCCCCCCCCCC,C=CCCCCCCCCCCCCCC,C=CCCCCCCCCCCCCCC.C=CCCCCCCCCCCCCCC,True,2017
CCCCCCCCCCCCCCCC=C,CCCCCCCCCCCCCCCC=C,,-11.0,Compsol pure,solute-solvent same,C=CCCCCCCCCCCCCCCC,C=CCCCCCCCCCCCCCCC,C=CCCCCCCCCCCCCCCC.C=CCCCCCCCCCCCCCCC,True,2018
CCCCCCCCCCCCCCCCC=C,CCCCCCCCCCCCCCCCC=C,,-11.6,Compsol pure,solute-solvent same,C=CCCCCCCCCCCCCCCCC,C=CCCCCCCCCCCCCCCCC,C=CCCCCCCCCCCCCCCCC.C=CCCCCCCCCCCCCCCCC,True,2019
CCCCCCCCCCCCCCCCCC=C,CCCCCCCCCCCCCCCCCC=C,,-12.4,Compsol pure,solute-solvent same,C=CCCCCCCCCCCCCCCCCC,C=CCCCCCCCCCCCCCCCCC,C=CCCCCCCCCCCCCCCCCC.C=CCCCCCCCCCCCCCCCCC,True,2020
ClCC=C,ClCC=C,,-3.81,Compsol pure,solute-solvent same,C=CCCl,C=CCCl,C=CCCl.C=CCCl,True,2026
ClCC=C,CCCCCCCCCCCCCCCC,,-2.88,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=CCCl,CCCCCCCCCCCCCCCC,C=CCCl.CCCCCCCCCCCCCCCC,True,2027
ClCC=C,O,,-0.57,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=CCCl,O,C=CCCl.O,True,2029
ICC=C,CCCCCCCCCCCCCCCC,,-4.1,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=CCI,CCCCCCCCCCCCCCCC,C=CCI.CCCCCCCCCCCCCCCC,True,2030
C=CCN(CC=C)CC=C,C=CCN(CC=C)CC=C,,-6.1,Compsol pure,solute-solvent same,C=CCN(CC=C)CC=C,C=CCN(CC=C)CC=C,C=CCN(CC=C)CC=C.C=CCN(CC=C)CC=C,True,2034
NCC=C,NCC=C,,-4.11,Compsol pure,solute-solvent same,C=CCN,C=CCN,C=CCN.C=CCN,True,2040
C=CCNCC=C,C=CCNCC=C,,-5.28,Compsol pure,solute-solvent same,C=CCNCC=C,C=CCNCC=C,C=CCNCC=C.C=CCNCC=C,True,2053
OCC=C,OCC=C,,-5.5,Compsol pure,solute-solvent same,C=CCO,C=CCO,C=CCO.C=CCO,True,2056
C=CCO,CC(=O)N(C)C,,-4.69,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCO,CC(=O)N(C)C,C=CCO.CC(=O)N(C)C,True,2057
OCC=C,CCCCCCCCCCCCCCCC,,-2.73,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=CCO,CCCCCCCCCCCCCCCC,C=CCO.CCCCCCCCCCCCCCCC,True,2058
OCC=C,CCCCCCCCO,,-5.27,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=CCO,CCCCCCCCO,C=CCO.CCCCCCCCO,True,2059
C=CCO,C(=O)N(CCCC)CCCC,,-5.42,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCO,CCCCN(C=O)CCCC,C=CCO.CCCCN(C=O)CCCC,True,2060
OCC=C,CCOCC,,-4.87,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=CCO,CCOCC,C=CCO.CCOCC,True,2061
C=CCO,CNC(=O)C,,-5.87,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=CCO,CNC(C)=O,C=CCO.CNC(C)=O,True,2062
OCC=C,ClC(Cl)Cl,,-4.34,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=CCO,ClC(Cl)Cl,C=CCO.ClC(Cl)Cl,True,2063
OCC=C,O,,-5.0600000000000005,10.13020/3eks-j059 10.1016/j.cej.2021.129307,Averaged - std : 0.02,C=CCO,O,C=CCO.O,True,2065
C=CCOC(=O)\C=C/C(=O)OCC=C,C=CCOC(=O)\C=C/C(=O)OCC=C,,-9.79,Compsol pure,solute-solvent same,C=CCOC(=O)/C=C\C(=O)OCC=C,C=CCOC(=O)/C=C\C(=O)OCC=C,C=CCOC(=O)/C=C\C(=O)OCC=C.C=CCOC(=O)/C=C\C(=O)OCC=C,True,2066
CC(=C)C(=O)OCC=C,CC(=C)C(=O)OCC=C,,-5.97,Compsol pure,solute-solvent same,C=CCOC(=O)C(=C)C,C=CCOC(=O)C(=C)C,C=CCOC(=O)C(=C)C.C=CCOC(=O)C(=C)C,True,2067
C=CCOC(=O)C=C,C=CCOC(=O)C=C,,-5.64,Compsol pure,solute-solvent same,C=CCOC(=O)C=C,C=CCOC(=O)C=C,C=CCOC(=O)C=C.C=CCOC(=O)C=C,True,2071
C=CCOC(=O)c1ccccc1C(=O)OCC=C,C=CCOC(=O)c1ccccc1C(=O)OCC=C,,-12.0,Compsol pure,solute-solvent same,C=CCOC(=O)c1ccccc1C(=O)OCC=C,C=CCOC(=O)c1ccccc1C(=O)OCC=C,C=CCOC(=O)c1ccccc1C(=O)OCC=C.C=CCOC(=O)c1ccccc1C(=O)OCC=C,True,2077
CC(=O)OCC=C,CC(=O)OCC=C,,-5.03,Compsol pure,solute-solvent same,C=CCOC(C)=O,C=CCOC(C)=O,C=CCOC(C)=O.C=CCOC(C)=O,True,2079
CC(COCC=C)O,CC(COCC=C)O,,-6.68,Compsol pure,solute-solvent same,C=CCOCC(C)O,C=CCOCC(C)O,C=CCOCC(C)O.C=CCOCC(C)O,True,2084
C=CCOCC1CO1,C=CCOCC1CO1,,-6.41,Compsol pure,solute-solvent same,C=CCOCC1CO1,C=CCOCC1CO1,C=CCOCC1CO1.C=CCOCC1CO1,True,2087
C=CCOCC=C,C=CCOCC=C,,-4.71,Compsol pure,solute-solvent same,C=CCOCC=C,C=CCOCC=C,C=CCOCC=C.C=CCOCC=C,True,2089
CC(C)(C)OOCC=C,CC(C)(C)OOCC=C,,-5.2,Compsol pure,solute-solvent same,C=CCOOC(C)(C)C,C=CCOOC(C)(C)C,C=CCOOC(C)(C)C.C=CCOOC(C)(C)C,True,2091
C=CCSCC=C,C=CCSCC=C,,-5.7,Compsol pure,solute-solvent same,C=CCSCC=C,C=CCSCC=C,C=CCSCC=C.C=CCSCC=C,True,2100
CCC[C@@H](C)CC=C,CCC[C@@H](C)CC=C,,-5.0,Compsol pure,solute-solvent same,C=CC[C@H](C)CCC,C=CC[C@H](C)CCC,C=CC[C@H](C)CCC.C=CC[C@H](C)CCC,True,2102
ClC=C,ClC=C,,-2.69,Compsol pure,solute-solvent same,C=CCl,C=CCl,C=CCl.C=CCl,True,2114
ClC=C,O,,-0.59,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=CCl,O,C=CCl.O,True,2116
FC=C,FC=C,,-1.79,Compsol pure,solute-solvent same,C=CF,C=CF,C=CF.C=CF,True,2120
CC(C)(C)C(=O)OC=C,CC(C)(C)C(=O)OC=C,,-5.06,Compsol pure,solute-solvent same,C=COC(=O)C(C)(C)C,C=COC(=O)C(C)(C)C,C=COC(=O)C(C)(C)C.C=COC(=O)C(C)(C)C,True,2125
CCC(=O)OC=C,CCC(=O)OC=C,,-4.9,Compsol pure,solute-solvent same,C=COC(=O)CC,C=COC(=O)CC,C=COC(=O)CC.C=COC(=O)CC,True,2127
CC(=O)OC=C,CC(=O)OC=C,,-4.43,Compsol pure,solute-solvent same,C=COC(C)=O,C=COC(C)=O,C=COC(C)=O.C=COC(C)=O,True,2133
CC(=O)OC=C,CC(=O)C,,-4.46,10.1016/j.cej.2021.129307,"['CompSol Binary (entry number=25625)', 'CompSol Binary (entry number=25626)']",C=COC(C)=O,CC(C)=O,C=COC(C)=O.CC(C)=O,True,2134
CC(=O)OC=C,CC(=O)N(CC)CC,,-4.2,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=COC(C)=O,CCN(CC)C(C)=O,C=COC(C)=O.CCN(CC)C(C)=O,True,2135
CC(=O)OC=C,CCNC(=O)C,,-3.83,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=COC(C)=O,CCNC(C)=O,C=COC(C)=O.CCNC(C)=O,True,2136
CC(=O)OC=C,CCNC=O,,-3.92,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=COC(C)=O,CCNC=O,C=COC(C)=O.CCNC=O,True,2137
CC(=O)OC=C,CN1CCCC1=O,,-4.16,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=COC(C)=O,CN1CCCC1=O,C=COC(C)=O.CN1CCCC1=O,True,2138
CC(=O)OC=C,O,,-2.67,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A20)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'Abraham Paper (A5)', 'CompSol Binary (entry number=65159)']",C=COC(C)=O,O,C=COC(C)=O.O,True,2140
CC(=O)OC=C,C1COCCN1C=O,,-3.98,10.1016/j.cej.2021.129307,"['Abraham Paper (A20)', 'Abraham Paper (A5)']",C=COC(C)=O,O=CN1CCOCC1,C=COC(C)=O.O=CN1CCOCC1,True,2141
COC=C,COC=C,,-2.99,Compsol pure,solute-solvent same,C=COC,C=COC,C=COC.C=COC,True,2142
C=COC=C,C=COC=C,,-3.37,Compsol pure,solute-solvent same,C=COC=C,C=COC=C,C=COC=C.C=COC=C,True,2146
C=COC=O,C=COC=O,,-3.95,Compsol pure,solute-solvent same,C=COC=O,C=COC=O,C=COC=O.C=COC=O,True,2148
CCOC=C,CCOC=C,,-3.53,Compsol pure,solute-solvent same,C=COCC,C=COCC,C=COCC.C=COCC,True,2151
CCCCOC=C,CCCCOC=C,,-4.73,Compsol pure,solute-solvent same,C=COCCCC,C=COCCCC,C=COCCCC.C=COCCCC,True,2153
C=C[C@H]1COC(=O)O1,C=C[C@H]1COC(=O)O1,,-9.45,Compsol pure,solute-solvent same,C=C[C@H]1COC(=O)O1,C=C[C@H]1COC(=O)O1,C=C[C@H]1COC(=O)O1.C=C[C@H]1COC(=O)O1,True,2175
CC(=C)c1ccc(C=C)cc1,CC(=C)c1ccc(C=C)cc1,,-8.37,Compsol pure,solute-solvent same,C=Cc1ccc(C(=C)C)cc1,C=Cc1ccc(C(=C)C)cc1,C=Cc1ccc(C(=C)C)cc1.C=Cc1ccc(C(=C)C)cc1,True,2180
CC(C)(C)c1ccc(C=C)cc1,CC(C)(C)c1ccc(C=C)cc1,,-7.94,Compsol pure,solute-solvent same,C=Cc1ccc(C(C)(C)C)cc1,C=Cc1ccc(C(C)(C)C)cc1,C=Cc1ccc(C(C)(C)C)cc1.C=Cc1ccc(C(C)(C)C)cc1,True,2181
Cc1ccc(C=C)cc1,Cc1ccc(C=C)cc1,,-6.68,Compsol pure,solute-solvent same,C=Cc1ccc(C)cc1,C=Cc1ccc(C)cc1,C=Cc1ccc(C)cc1.C=Cc1ccc(C)cc1,True,2183
CC(C)Cc1ccc(C=C)cc1,CC(C)Cc1ccc(C=C)cc1,,-8.75,Compsol pure,solute-solvent same,C=Cc1ccc(CC(C)C)cc1,C=Cc1ccc(CC(C)C)cc1,C=Cc1ccc(CC(C)C)cc1.C=Cc1ccc(CC(C)C)cc1,True,2185
CCc1ccc(C=C)cc1,CCc1ccc(C=C)cc1,,-7.17,Compsol pure,solute-solvent same,C=Cc1ccc(CC)cc1,C=Cc1ccc(CC)cc1,C=Cc1ccc(CC)cc1.C=Cc1ccc(CC)cc1,True,2186
Cc1cccc(C=C)c1,Cc1cccc(C=C)c1,,-6.65,Compsol pure,solute-solvent same,C=Cc1cccc(C)c1,C=Cc1cccc(C)c1,C=Cc1cccc(C)c1.C=Cc1cccc(C)c1,True,2188
C=Cc1cccc(C=C)c1,C=Cc1cccc(C=C)c1,,-7.31,Compsol pure,solute-solvent same,C=Cc1cccc(C=C)c1,C=Cc1cccc(C=C)c1,C=Cc1cccc(C=C)c1.C=Cc1cccc(C=C)c1,True,2190
CCc1cccc(C=C)c1,CCc1cccc(C=C)c1,,-7.15,Compsol pure,solute-solvent same,C=Cc1cccc(CC)c1,C=Cc1cccc(CC)c1,C=Cc1cccc(CC)c1.C=Cc1cccc(CC)c1,True,2191
C=Cc1ccccc1,C=Cc1ccccc1,,-6.02,Compsol pure,solute-solvent same,C=Cc1ccccc1,C=Cc1ccccc1,C=Cc1ccccc1.C=Cc1ccccc1,True,2192
C=CC1=CC=CC=C1,O,,-1.27,10.1016/j.cej.2021.129307,"['Abraham Paper (A10)', 'Abraham Paper (A11)', 'Abraham Paper (A25)', 'FreeSolv (entry number=616)', 'CompSol Binary (entry number=66839)', 'CompSol Binary (entry number=66841)']",C=Cc1ccccc1,O,C=Cc1ccccc1.O,True,2194
Cc1ccccc1C=C,Cc1ccccc1C=C,,-6.67,Compsol pure,solute-solvent same,C=Cc1ccccc1C,C=Cc1ccccc1C,C=Cc1ccccc1C.C=Cc1ccccc1C,True,2195
CCc1ccccc1C=C,CCc1ccccc1C=C,,-7.06,Compsol pure,solute-solvent same,C=Cc1ccccc1CC,C=Cc1ccccc1CC,C=Cc1ccccc1CC.C=Cc1ccccc1CC,True,2197
C=O,C=O,,-2.95,Compsol pure,solute-solvent same,C=O,C=O,C=O.C=O,True,2202
C=O,CC(C)OC(C)C,,-1.04,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=O,CC(C)OC(C)C,C=O.CC(C)OC(C)C,True,2203
C=O,CCC(C)=O,,-1.77,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,C=O,CCC(C)=O,C=O.CCC(C)=O,True,2204
